"지점명,월일,평균 평균기온,평균 최저기온,평균 최고기온,누적 최고기온,누적 최저기온"
"서울,01-01,-2.43,-6.54,2.26,9.6,-15.1"
"서울,01-02,-2.01,-6.11,2.94,10.6,-12.8"
"서울,01-03,-2.34,-6.77,2.81,9.0,-13.2"
"서울,01-04,-2.46,-6.99,2.71,9.7,-14.8"
"서울,01-05,-2.19,-6.56,2.83,11.5,-12.9"
"서울,01-06,-2.68,-7.03,2.41,9.0,-15.5"
"서울,01-07,-3.06,-7.13,1.91,8.3,-15.3"
"서울,01-08,-2.61,-6.67,2.28,9.0,-16.4"
"서울,01-09,-1.93,-5.76,2.84,9.1,-14.2"
"서울,01-10,-1.59,-5.41,3.01,9.4,-14.7"
"서울,01-11,-1.14,-4.59,3.09,10.3,-12.8"
"서울,01-12,-1.31,-4.93,2.94,8.9,-17.0"
"서울,01-13,-1.41,-5.66,3.61,11.4,-14.4"
"서울,01-14,-2.03,-5.69,2.5,9.6,-14.0"
"서울,01-15,-3.03,-6.51,1.19,7.3,-13.7"
"서울,01-16,-2.4,-6.29,2.21,8.9,-12.4"
"서울,01-17,-1.44,-5.26,3.2,9.3,-10.8"
"서울,01-18,-0.74,-4.06,3.6,10.2,-10.9"
"서울,01-19,-0.61,-4.13,3.71,9.3,-10.1"
"서울,01-20,-0.81,-4.24,3.53,8.7,-11.5"
"서울,01-21,-1.31,-5.1,3.2,8.1,-13.3"
"서울,01-22,-2.36,-6.0,2.1,10.3,-14.9"
"서울,01-23,-4.5,-8.33,-0.03,3.8,-15.9"
"서울,01-24,-6.26,-10.33,-1.59,2.0,-18.0"
"서울,01-25,-5.97,-10.04,-1.11,3.1,-17.8"
"서울,01-26,-5.37,-9.5,-0.64,4.4,-17.1"
"서울,01-27,-3.19,-6.77,1.21,7.2,-13.7"
"서울,01-28,-2.29,-5.9,2.11,7.0,-12.5"
"서울,01-29,-2.19,-6.1,2.6,9.1,-14.9"
"서울,01-30,-2.3,-6.56,2.86,9.4,-16.5"
